Asset,Horizon,N_Obs,QL_LASSO_AR,QL_LASSO_VIX,QL_LASSO_CASSI,QL_LGB_VIX,QL_LGB_CASSI,Imp_VIX_over_AR_%,Imp_LASSO_CASSI_over_VIX_%,Imp_CASSI_over_VIX_%,Imp_LGB_over_LASSO_%,DM_VIX_vs_AR_p,DM_LASSO_CASSI_VIX_p,DM_CASSI_vs_VIX_p,DM_NLR_p,CASSI_sig_5pct
sp500,1w,3371,0.002783,0.002831,0.002819,0.002951,0.003016,-6.04,0.43,-2.21,-4.23,0.0255,0.5667,0.0389,0.0622,YES
sp500,1m,3371,0.006372,0.006671,0.007098,0.006801,0.006695,-6.74,-6.4,1.57,-1.96,0.2136,0.075,0.5383,0.8049,no
sp500,3m,3371,0.011051,0.011965,0.012003,0.009471,0.009512,14.3,-0.32,-0.44,20.85,0.0104,0.9694,0.8884,0.0219,no
treasury,1w,3371,0.005937,0.006148,0.006217,0.006708,0.006735,-12.98,-1.12,-0.4,-9.12,0.0581,0.2389,0.6334,0.1227,no
treasury,1m,3371,0.014548,0.014856,0.015603,0.01525,0.015399,-4.83,-5.03,-0.97,-2.65,0.2348,0.0657,0.2981,0.4196,no
treasury,3m,3371,0.028966,0.032011,0.037184,0.026942,0.026732,6.99,-16.16,0.78,15.84,0.0099,0.0075,0.4199,0.0001,no
eurusd,1w,3371,0.001307,0.001417,0.001385,0.001291,0.001283,1.24,2.22,0.58,8.9,0.5348,0.1158,0.6429,0.0174,no
eurusd,1m,3371,0.002508,0.002656,0.00265,0.002526,0.002638,-0.7,0.24,-4.46,4.91,0.8651,0.9651,0.1804,0.2788,no
eurusd,3m,3371,0.004788,0.005785,0.005315,0.00418,0.004382,12.69,8.13,-4.82,27.74,0.0107,0.302,0.3613,0.005,no
oil,1w,3371,0.008522,0.008661,0.008738,0.008758,0.00872,-2.77,-0.89,0.44,-1.13,0.5376,0.1109,0.6774,0.7425,no
oil,1m,3371,0.015599,0.01616,0.016659,0.017092,0.016673,-9.57,-3.09,2.45,-5.77,0.1585,0.1463,0.0113,0.1495,YES
oil,3m,3371,0.035024,0.035198,0.036076,0.030389,0.030129,13.23,-2.49,0.85,13.66,0.0004,0.5292,0.7009,0.0376,no
credit_spread,1w,3371,0.001465,0.001472,0.001484,0.001556,0.001556,-6.27,-0.86,0.04,-5.75,0.0302,0.6602,0.9898,0.0321,no
credit_spread,1m,3371,0.003066,0.003189,0.003865,0.00335,0.003361,-9.25,-21.19,-0.35,-5.04,0.1496,0.0106,0.852,0.3978,no
credit_spread,3m,3371,0.006075,0.006683,0.007355,0.00457,0.004625,24.77,-10.05,-1.21,31.62,0.0,0.3464,0.7548,0.0,no
