Asset,Horizon,Regime,QL_LGB_VIX,QL_LGB_CASSI,CASSI_Imp_%,DM_p,Sig_5pct,N_Obs
sp500,1w,Normal,0.002354,0.002413,-2.49,0.1334,no,2450
sp500,1w,Stress_VIX20,0.004539,0.004622,-1.82,0.1422,no,921
sp500,1w,HighStr_VIX30,0.006915,0.007134,-3.15,0.1247,no,213
sp500,1m,Normal,0.006281,0.006056,3.58,0.3002,no,2450
sp500,1m,Stress_VIX20,0.008185,0.008393,-2.54,0.2305,no,921
sp500,1m,HighStr_VIX30,0.008993,0.00947,-5.3,0.0599,no,213
sp500,3m,Normal,0.008863,0.008897,-0.37,0.9084,no,2450
sp500,3m,Stress_VIX20,0.011085,0.011148,-0.56,0.918,no,921
sp500,3m,HighStr_VIX30,0.01079,0.011088,-2.76,0.5731,no,213
treasury,1w,Normal,0.00477,0.004823,-1.1,0.3467,no,2450
treasury,1w,Stress_VIX20,0.011863,0.011823,0.34,0.7602,no,921
treasury,1w,HighStr_VIX30,0.024036,0.024436,-1.67,0.2782,no,213
treasury,1m,Normal,0.013713,0.013828,-0.84,0.5049,no,2450
treasury,1m,Stress_VIX20,0.01934,0.019577,-1.23,0.1841,no,921
treasury,1m,HighStr_VIX30,0.033389,0.033285,0.31,0.4016,no,213
treasury,3m,Normal,0.029058,0.028638,1.45,0.2083,no,2450
treasury,3m,Stress_VIX20,0.021314,0.021663,-1.64,0.1267,no,921
treasury,3m,HighStr_VIX30,0.022502,0.022848,-1.54,0.059,no,213
eurusd,1w,Normal,0.001204,0.001192,1.03,0.4968,no,2450
eurusd,1w,Stress_VIX20,0.001521,0.001527,-0.38,0.834,no,921
eurusd,1w,HighStr_VIX30,0.00172,0.00181,-5.24,0.1032,no,213
eurusd,1m,Normal,0.002434,0.002484,-2.05,0.4622,no,2450
eurusd,1m,Stress_VIX20,0.00277,0.003049,-10.09,0.2175,no,921
eurusd,1m,HighStr_VIX30,0.003179,0.004532,-42.57,0.11,no,213
eurusd,3m,Normal,0.004259,0.004236,0.53,0.8975,no,2450
eurusd,3m,Stress_VIX20,0.003972,0.00477,-20.09,0.171,no,921
eurusd,3m,HighStr_VIX30,0.003605,0.00671,-86.12,0.1309,no,213
oil,1w,Normal,0.004726,0.004728,-0.05,0.9806,no,2450
oil,1w,Stress_VIX20,0.019486,0.019339,0.75,0.4545,no,921
oil,1w,HighStr_VIX30,0.062819,0.061929,1.42,0.2147,no,213
oil,1m,Normal,0.012164,0.011712,3.71,0.0098,YES,2450
oil,1m,Stress_VIX20,0.030204,0.02987,1.1,0.2585,no,921
oil,1m,HighStr_VIX30,0.08278,0.081734,1.26,0.0308,YES,213
oil,3m,Normal,0.031977,0.032186,-0.65,0.7297,no,2450
oil,3m,Stress_VIX20,0.026164,0.024656,5.76,0.3601,no,921
oil,3m,HighStr_VIX30,0.032635,0.030047,7.93,0.4631,no,213
credit_spread,1w,Normal,0.001152,0.001087,5.67,0.0175,YES,2450
credit_spread,1w,Stress_VIX20,0.002632,0.002803,-6.52,0.2321,no,921
credit_spread,1w,HighStr_VIX30,0.004752,0.005308,-11.69,0.3099,no,213
credit_spread,1m,Normal,0.002881,0.002916,-1.23,0.6396,no,2450
credit_spread,1m,Stress_VIX20,0.004598,0.004546,1.13,0.5738,no,921
credit_spread,1m,HighStr_VIX30,0.006979,0.006973,0.08,0.981,no,213
credit_spread,3m,Normal,0.004371,0.004483,-2.56,0.6082,no,2450
credit_spread,3m,Stress_VIX20,0.005099,0.005004,1.86,0.6437,no,921
credit_spread,3m,HighStr_VIX30,0.00529,0.005562,-5.14,0.2639,no,213
