,Cross-Asset Correlations,Bond Market,Credit Market,Currency / FX,Commodities,Equity
sp500_q05_1w,20.063463577115424,16.54436642604319,12.811403834087502,19.878979286584304,17.601240196908883,13.100546679260665
sp500_q05_1m,21.725031587851895,16.965683790462393,13.059051048913691,18.327076837774968,16.415338015325773,13.507818719671274
sp500_q05_3m,25.377955816124057,15.333245638793649,11.77860294287207,18.077256153281702,18.879429195714412,10.553510253214109
treasury_q05_1w,18.506443679031914,16.34625527865244,13.20182456452512,18.55962649943826,17.38679481971193,15.999055158640349
treasury_q05_1m,19.38278887685894,20.460246656204006,19.48734255568515,16.421263650671712,13.980181554779461,10.268176705800721
treasury_q05_3m,16.320656276939868,19.853814957060926,12.895904845412772,20.96090615874315,20.34977722060537,9.618940541237905
eurusd_q05_1w,19.86760358377457,15.996320382297618,12.873931634823233,21.058545533134904,17.009050560432584,13.194548305537088
eurusd_q05_1m,22.1461786062356,15.496468352750112,11.550904562970036,17.007163659376847,21.095256614814215,12.704028203853202
eurusd_q05_3m,28.281297846651082,14.879456799056978,10.382987556114513,17.774853806073413,18.09456057148289,10.586843420621124
oil_q05_1w,19.686208218115873,14.321619229691493,14.435835020820278,19.730056919484095,19.90325185146673,11.92302876042152
oil_q05_1m,18.74631055281084,15.161565988786464,22.66935235975793,16.448396962351755,15.180044729302404,11.794329406990636
oil_q05_3m,25.30854961600563,13.568637637081224,16.569390515142057,17.16729542376114,17.707215273279026,9.67891153473092
credit_spread_q05_1w,21.50427711181322,14.971468448904798,12.693844394873427,17.28725868784102,20.008077169310912,13.535074187256656
credit_spread_q05_1m,22.33646288707474,16.281248022958085,15.41291329563532,18.00982786840112,15.591482379128989,12.368065546801732
credit_spread_q05_3m,30.734817631104654,13.708806125651739,11.44295196394445,17.2679813014114,16.718025246284697,10.127417731603078
