Asset,Horizon,Model,ViolRate_All,N_All,ViolRate_Normal,N_Normal,ViolRate_Stress,N_Stress,ViolRate_HighStress,N_HighStress
sp500,1w,LGB_VIX,5.52,3371,4.53,2450,8.14,921,8.92,213
sp500,1w,LGB_CASSI,5.52,3371,4.49,2450,8.25,921,8.45,213
sp500,1m,LGB_VIX,7.53,3371,6.86,2450,9.34,921,3.29,213
sp500,1m,LGB_CASSI,6.97,3371,6.41,2450,8.47,921,3.29,213
sp500,3m,LGB_VIX,7.65,3371,8.12,2450,6.41,921,4.23,213
sp500,3m,LGB_CASSI,7.48,3371,7.51,2450,7.38,921,5.16,213
treasury,1w,LGB_VIX,7.65,3371,6.04,2450,11.94,921,19.72,213
treasury,1w,LGB_CASSI,7.51,3371,6.12,2450,11.18,921,19.25,213
treasury,1m,LGB_VIX,8.51,3371,7.59,2450,10.97,921,18.31,213
treasury,1m,LGB_CASSI,8.69,3371,7.96,2450,10.64,921,17.84,213
treasury,3m,LGB_VIX,9.88,3371,11.27,2450,6.19,921,7.51,213
treasury,3m,LGB_CASSI,9.7,3371,10.86,2450,6.62,921,7.51,213
eurusd,1w,LGB_VIX,5.34,3371,4.82,2450,6.73,921,7.51,213
eurusd,1w,LGB_CASSI,5.34,3371,4.78,2450,6.84,921,7.04,213
eurusd,1m,LGB_VIX,6.17,3371,5.67,2450,7.49,921,7.04,213
eurusd,1m,LGB_CASSI,6.67,3371,6.12,2450,8.14,921,10.33,213
eurusd,3m,LGB_VIX,8.99,3371,9.27,2450,8.25,921,4.23,213
eurusd,3m,LGB_CASSI,11.21,3371,10.94,2450,11.94,921,10.8,213
oil,1w,LGB_VIX,6.85,3371,5.47,2450,10.53,921,16.9,213
oil,1w,LGB_CASSI,6.91,3371,5.71,2450,10.1,921,15.49,213
oil,1m,LGB_VIX,7.12,3371,6.2,2450,9.55,921,13.62,213
oil,1m,LGB_CASSI,7.51,3371,6.57,2450,9.99,921,13.62,213
oil,3m,LGB_VIX,9.46,3371,9.59,2450,9.12,921,10.8,213
oil,3m,LGB_CASSI,9.4,3371,10.24,2450,7.17,921,6.1,213
credit_spread,1w,LGB_VIX,5.37,3371,4.12,2450,8.69,921,11.74,213
credit_spread,1w,LGB_CASSI,5.19,3371,3.55,2450,9.55,921,13.15,213
credit_spread,1m,LGB_VIX,6.23,3371,5.47,2450,8.25,921,6.1,213
credit_spread,1m,LGB_CASSI,5.87,3371,5.35,2450,7.27,921,4.69,213
credit_spread,3m,LGB_VIX,7.36,3371,7.59,2450,6.73,921,4.69,213
credit_spread,3m,LGB_CASSI,6.62,3371,6.65,2450,6.51,921,3.76,213
