Asset,Horizon,Model,CrossDate,FirstViol,LeadDays,VIX_at_cross
sp500,1w,LGB_VIX,2011-03-01,2011-03-09,-8,21.0
sp500,1w,LGB_VIX,2011-03-07,2011-03-09,-2,20.7
sp500,1w,LGB_VIX,2011-03-09,2011-03-09,0,20.2
sp500,1w,LGB_VIX,2011-06-15,2011-05-26,20,21.3
sp500,1w,LGB_VIX,2011-06-24,2011-05-26,29,21.1
sp500,1w,LGB_VIX,2011-07-14,2011-07-07,7,20.8
sp500,1w,LGB_VIX,2011-07-18,2011-07-07,11,21.0
sp500,1w,LGB_VIX,2011-07-26,2011-07-07,19,20.2
sp500,1w,LGB_VIX,2012-04-10,2012-03-30,11,20.4
sp500,1w,LGB_VIX,2012-05-09,2012-04-27,12,20.1
sp500,1w,LGB_VIX,2012-05-14,2012-04-27,17,21.9
sp500,1w,LGB_VIX,2012-06-21,2012-05-23,29,20.1
sp500,1w,LGB_VIX,2013-06-20,2013-06-17,3,20.5
sp500,1w,LGB_VIX,2013-06-24,2013-06-17,7,20.1
sp500,1w,LGB_VIX,2014-02-03,2014-01-15,19,21.4
sp500,1w,LGB_VIX,2014-10-10,2014-09-24,16,21.2
sp500,1w,LGB_VIX,2014-12-11,2014-12-05,6,20.1
sp500,1w,LGB_VIX,2015-01-06,2014-12-08,29,21.1
sp500,1w,LGB_VIX,2015-01-13,2014-12-23,21,20.6
sp500,1w,LGB_VIX,2015-08-21,2015-08-14,7,28.0
sp500,1w,LGB_VIX,2015-11-13,2015-11-06,7,20.1
sp500,1w,LGB_VIX,2015-12-11,2015-12-04,7,24.4
sp500,1w,LGB_VIX,2015-12-18,2015-12-04,14,20.7
sp500,1w,LGB_VIX,2016-01-04,2015-12-29,6,20.7
sp500,1w,LGB_VIX,2016-01-06,2015-12-29,8,20.6
sp500,1w,LGB_VIX,2016-02-02,2016-01-05,28,22.0
sp500,1w,LGB_VIX,2016-11-03,2016-10-26,8,22.1
sp500,1w,LGB_VIX,2018-02-05,2018-01-25,11,37.3
sp500,1w,LGB_VIX,2018-02-20,2018-01-25,26,20.6
sp500,1w,LGB_VIX,2018-03-01,2018-01-31,29,22.5
sp500,1w,LGB_VIX,2018-03-22,2018-02-26,24,23.3
sp500,1w,LGB_VIX,2018-04-02,2018-03-12,21,23.6
sp500,1w,LGB_VIX,2018-04-06,2018-03-12,25,21.5
sp500,1w,LGB_VIX,2018-10-10,2018-10-03,7,23.0
sp500,1w,LGB_VIX,2018-10-18,2018-10-03,15,20.1
sp500,1w,LGB_VIX,2018-10-23,2018-10-03,20,20.7
sp500,1w,LGB_VIX,2018-11-12,2018-10-17,26,20.5
sp500,1w,LGB_VIX,2018-11-19,2018-11-07,12,20.1
sp500,1w,LGB_VIX,2018-12-04,2018-11-07,27,20.7
sp500,1w,LGB_VIX,2019-05-13,2019-05-06,7,20.5
sp500,1w,LGB_VIX,2019-08-05,2019-07-29,7,24.6
sp500,1w,LGB_VIX,2019-08-12,2019-07-29,14,21.1
sp500,1w,LGB_VIX,2019-08-14,2019-07-29,16,22.1
sp500,1w,LGB_VIX,2019-08-27,2019-07-29,29,20.3
sp500,1w,LGB_VIX,2020-02-24,2020-02-13,11,25.0
sp500,1w,LGB_VIX,2021-09-10,2021-09-13,-3,21.0
sp500,1w,LGB_VIX,2021-09-17,2021-09-13,4,20.8
sp500,1w,LGB_VIX,2021-09-28,2021-09-13,15,23.2
sp500,1w,LGB_VIX,2022-01-13,2022-01-03,10,20.3
sp500,1w,LGB_VIX,2022-01-18,2022-01-03,15,22.8
sp500,1w,LGB_VIX,2022-02-10,2022-01-11,30,23.9
sp500,1w,LGB_VIX,2022-03-31,2022-03-01,30,20.6
sp500,1w,LGB_VIX,2022-04-05,2022-04-04,1,21.0
sp500,1w,LGB_VIX,2022-08-11,2022-08-15,-4,20.2
sp500,1w,LGB_VIX,2022-08-19,2022-08-15,4,20.6
sp500,1w,LGB_VIX,2022-12-05,2022-12-12,-7,20.8
sp500,1w,LGB_VIX,2023-03-09,2023-03-03,6,22.6
sp500,1w,LGB_VIX,2024-08-02,2024-07-17,16,23.4
sp500,1w,LGB_CASSI,2011-03-01,2011-03-09,-8,21.0
sp500,1w,LGB_CASSI,2011-03-07,2011-03-09,-2,20.7
sp500,1w,LGB_CASSI,2011-03-09,2011-03-09,0,20.2
sp500,1w,LGB_CASSI,2011-06-15,2011-05-25,21,21.3
sp500,1w,LGB_CASSI,2011-06-24,2011-05-25,30,21.1
sp500,1w,LGB_CASSI,2011-07-14,2011-07-21,-7,20.8
sp500,1w,LGB_CASSI,2011-07-18,2011-07-21,-3,21.0
sp500,1w,LGB_CASSI,2011-07-26,2011-07-21,5,20.2
sp500,1w,LGB_CASSI,2012-04-10,2012-03-30,11,20.4
sp500,1w,LGB_CASSI,2012-05-09,2012-05-01,8,20.1
sp500,1w,LGB_CASSI,2012-05-14,2012-05-01,13,21.9
sp500,1w,LGB_CASSI,2012-06-21,2012-05-23,29,20.1
sp500,1w,LGB_CASSI,2012-06-25,2012-06-19,6,20.4
sp500,1w,LGB_CASSI,2013-06-20,2013-06-13,7,20.5
sp500,1w,LGB_CASSI,2013-06-24,2013-06-13,11,20.1
sp500,1w,LGB_CASSI,2014-02-03,2014-01-15,19,21.4
sp500,1w,LGB_CASSI,2014-10-10,2014-10-03,7,21.2
sp500,1w,LGB_CASSI,2014-12-11,2014-12-05,6,20.1
sp500,1w,LGB_CASSI,2015-01-06,2014-12-08,29,21.1
sp500,1w,LGB_CASSI,2015-01-13,2014-12-23,21,20.6
sp500,1w,LGB_CASSI,2015-08-21,2015-08-14,7,28.0
sp500,1w,LGB_CASSI,2016-01-04,2015-12-29,6,20.7
sp500,1w,LGB_CASSI,2016-01-06,2015-12-29,8,20.6
sp500,1w,LGB_CASSI,2016-02-02,2016-01-05,28,22.0
sp500,1w,LGB_CASSI,2016-02-23,2016-02-01,22,21.0
sp500,1w,LGB_CASSI,2016-02-29,2016-02-01,28,20.5
sp500,1w,LGB_CASSI,2018-02-05,2018-01-24,12,37.3
sp500,1w,LGB_CASSI,2018-02-20,2018-01-24,27,20.6
sp500,1w,LGB_CASSI,2018-03-01,2018-01-31,29,22.5
sp500,1w,LGB_CASSI,2018-03-22,2018-02-23,27,23.3
sp500,1w,LGB_CASSI,2018-04-02,2018-03-12,21,23.6
sp500,1w,LGB_CASSI,2018-04-06,2018-03-12,25,21.5
sp500,1w,LGB_CASSI,2018-10-10,2018-10-03,7,23.0
sp500,1w,LGB_CASSI,2018-10-18,2018-10-03,15,20.1
sp500,1w,LGB_CASSI,2018-10-23,2018-10-03,20,20.7
sp500,1w,LGB_CASSI,2018-11-12,2018-10-16,27,20.5
sp500,1w,LGB_CASSI,2018-11-19,2018-10-22,28,20.1
sp500,1w,LGB_CASSI,2018-12-04,2018-11-30,4,20.7
sp500,1w,LGB_CASSI,2019-05-13,2019-05-06,7,20.5
sp500,1w,LGB_CASSI,2019-08-05,2019-07-29,7,24.6
sp500,1w,LGB_CASSI,2019-08-12,2019-07-29,14,21.1
sp500,1w,LGB_CASSI,2019-08-14,2019-07-29,16,22.1
sp500,1w,LGB_CASSI,2019-08-27,2019-07-29,29,20.3
sp500,1w,LGB_CASSI,2020-02-24,2020-02-13,11,25.0
sp500,1w,LGB_CASSI,2021-09-17,2021-09-23,-6,20.8
sp500,1w,LGB_CASSI,2021-09-28,2021-09-23,5,23.2
sp500,1w,LGB_CASSI,2022-01-13,2022-01-03,10,20.3
sp500,1w,LGB_CASSI,2022-01-18,2022-01-03,15,22.8
sp500,1w,LGB_CASSI,2022-02-10,2022-01-11,30,23.9
sp500,1w,LGB_CASSI,2022-03-31,2022-04-04,-4,20.6
sp500,1w,LGB_CASSI,2022-04-05,2022-04-04,1,21.0
sp500,1w,LGB_CASSI,2022-08-11,2022-08-15,-4,20.2
sp500,1w,LGB_CASSI,2022-08-19,2022-08-15,4,20.6
sp500,1w,LGB_CASSI,2022-12-05,2022-12-12,-7,20.8
sp500,1w,LGB_CASSI,2023-03-09,2023-03-03,6,22.6
sp500,1w,LGB_CASSI,2024-08-02,2024-07-12,21,23.4
sp500,1m,LGB_VIX,2011-06-24,2011-07-01,-7,21.1
sp500,1m,LGB_VIX,2011-07-14,2011-07-01,13,20.8
sp500,1m,LGB_VIX,2011-07-18,2011-07-01,17,21.0
sp500,1m,LGB_VIX,2011-07-26,2011-07-01,25,20.2
sp500,1m,LGB_VIX,2012-03-06,2012-03-16,-10,20.9
sp500,1m,LGB_VIX,2012-04-10,2012-03-16,25,20.4
sp500,1m,LGB_VIX,2012-05-09,2012-04-11,28,20.1
sp500,1m,LGB_VIX,2012-05-14,2012-04-16,28,21.9
sp500,1m,LGB_VIX,2014-10-10,2014-09-11,29,21.2
sp500,1m,LGB_VIX,2015-01-06,2014-12-23,14,21.1
sp500,1m,LGB_VIX,2015-01-13,2014-12-23,21,20.6
sp500,1m,LGB_VIX,2015-01-28,2015-02-05,-8,20.4
sp500,1m,LGB_VIX,2015-01-30,2015-02-05,-6,21.0
sp500,1m,LGB_VIX,2015-08-21,2015-07-22,30,28.0
sp500,1m,LGB_VIX,2016-01-04,2016-01-05,-1,20.7
sp500,1m,LGB_VIX,2016-01-06,2016-01-05,1,20.6
sp500,1m,LGB_VIX,2016-02-02,2016-01-05,28,22.0
sp500,1m,LGB_VIX,2018-02-20,2018-02-21,-1,20.6
sp500,1m,LGB_VIX,2018-03-01,2018-02-21,8,22.5
sp500,1m,LGB_VIX,2018-03-22,2018-02-21,29,23.3
sp500,1m,LGB_VIX,2018-10-10,2018-09-11,29,23.0
sp500,1m,LGB_VIX,2018-10-18,2018-09-20,28,20.1
sp500,1m,LGB_VIX,2018-10-23,2018-09-24,29,20.7
sp500,1m,LGB_VIX,2018-11-12,2018-10-16,27,20.5
sp500,1m,LGB_VIX,2018-11-19,2018-10-22,28,20.1
sp500,1m,LGB_VIX,2018-12-04,2018-11-08,26,20.7
sp500,1m,LGB_VIX,2019-08-05,2019-07-15,21,24.6
sp500,1m,LGB_VIX,2019-08-12,2019-07-15,28,21.1
sp500,1m,LGB_VIX,2019-08-14,2019-07-15,30,22.1
sp500,1m,LGB_VIX,2020-02-24,2020-01-27,28,25.0
sp500,1m,LGB_VIX,2021-08-18,2021-08-25,-7,21.6
sp500,1m,LGB_VIX,2021-09-10,2021-08-25,16,21.0
sp500,1m,LGB_VIX,2021-09-17,2021-08-25,23,20.8
sp500,1m,LGB_VIX,2021-09-28,2021-08-30,29,23.2
sp500,1m,LGB_VIX,2021-12-09,2021-12-15,-6,21.6
sp500,1m,LGB_VIX,2021-12-13,2021-12-15,-2,20.3
sp500,1m,LGB_VIX,2021-12-16,2021-12-15,1,20.6
sp500,1m,LGB_VIX,2022-01-13,2021-12-15,29,20.3
sp500,1m,LGB_VIX,2022-01-18,2021-12-20,29,22.8
sp500,1m,LGB_VIX,2022-02-10,2022-01-11,30,23.9
sp500,1m,LGB_VIX,2022-03-31,2022-03-21,10,20.6
sp500,1m,LGB_VIX,2022-04-05,2022-03-21,15,21.0
sp500,1m,LGB_VIX,2022-08-11,2022-08-12,-1,20.2
sp500,1m,LGB_VIX,2022-08-19,2022-08-12,7,20.6
sp500,1m,LGB_VIX,2024-08-02,2024-07-03,30,23.4
sp500,1m,LGB_CASSI,2011-06-24,2011-06-30,-6,21.1
sp500,1m,LGB_CASSI,2011-07-14,2011-06-30,14,20.8
sp500,1m,LGB_CASSI,2011-07-18,2011-06-30,18,21.0
sp500,1m,LGB_CASSI,2011-07-26,2011-06-30,26,20.2
sp500,1m,LGB_CASSI,2012-03-06,2012-03-16,-10,20.9
sp500,1m,LGB_CASSI,2012-04-10,2012-03-16,25,20.4
sp500,1m,LGB_CASSI,2012-05-09,2012-04-12,27,20.1
sp500,1m,LGB_CASSI,2012-05-14,2012-04-16,28,21.9
sp500,1m,LGB_CASSI,2014-10-10,2014-09-11,29,21.2
sp500,1m,LGB_CASSI,2015-08-21,2015-07-23,29,28.0
sp500,1m,LGB_CASSI,2016-01-04,2016-01-05,-1,20.7
sp500,1m,LGB_CASSI,2016-01-06,2016-01-05,1,20.6
sp500,1m,LGB_CASSI,2016-02-02,2016-01-05,28,22.0
sp500,1m,LGB_CASSI,2018-02-05,2018-01-24,12,37.3
sp500,1m,LGB_CASSI,2018-02-20,2018-01-24,27,20.6
sp500,1m,LGB_CASSI,2018-03-01,2018-02-26,3,22.5
sp500,1m,LGB_CASSI,2018-03-22,2018-02-26,24,23.3
sp500,1m,LGB_CASSI,2018-10-10,2018-09-10,30,23.0
sp500,1m,LGB_CASSI,2018-10-18,2018-09-20,28,20.1
sp500,1m,LGB_CASSI,2018-10-23,2018-09-24,29,20.7
sp500,1m,LGB_CASSI,2018-11-12,2018-10-19,24,20.5
sp500,1m,LGB_CASSI,2018-11-19,2018-10-22,28,20.1
sp500,1m,LGB_CASSI,2018-12-04,2018-11-08,26,20.7
sp500,1m,LGB_CASSI,2019-08-05,2019-07-15,21,24.6
sp500,1m,LGB_CASSI,2019-08-12,2019-07-15,28,21.1
sp500,1m,LGB_CASSI,2019-08-14,2019-07-15,30,22.1
sp500,1m,LGB_CASSI,2020-02-24,2020-01-27,28,25.0
sp500,1m,LGB_CASSI,2021-08-18,2021-08-17,1,21.6
sp500,1m,LGB_CASSI,2021-09-10,2021-08-17,24,21.0
sp500,1m,LGB_CASSI,2021-09-17,2021-08-25,23,20.8
sp500,1m,LGB_CASSI,2021-09-28,2021-08-30,29,23.2
sp500,1m,LGB_CASSI,2021-12-09,2021-12-10,-1,21.6
sp500,1m,LGB_CASSI,2021-12-13,2021-12-10,3,20.3
sp500,1m,LGB_CASSI,2021-12-16,2021-12-10,6,20.6
sp500,1m,LGB_CASSI,2022-01-13,2021-12-15,29,20.3
sp500,1m,LGB_CASSI,2022-01-18,2021-12-20,29,22.8
sp500,1m,LGB_CASSI,2022-02-10,2022-01-11,30,23.9
sp500,1m,LGB_CASSI,2022-03-31,2022-03-23,8,20.6
sp500,1m,LGB_CASSI,2022-04-05,2022-03-23,13,21.0
sp500,1m,LGB_CASSI,2022-08-11,2022-08-12,-1,20.2
